Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Emission / Removal / Bunker,Gas,State,Economic Activity,Product,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Industrial Product and Process Use,Chemical Industry,Carbon Black,-,-,-,,Emissions,CO2e (t) GWP-AR5,Gujarat,Industry,-,466987.62,495590.07,507764.38,459415.95,485806.51,513010.77,513215.91,474421.37,463993.84,497211.6,529674.73
Industrial Product and Process Use,Chemical Industry,Carbon Black,-,-,-,,Emissions,N2O (t),Gujarat,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Chemical Industry,Carbon Black,-,-,-,,Emissions,CH4 (t),Kerala,Industry,-,2326.34,2468.83,2529.47,2288.62,2420.09,2557.03,2558.52,2365.12,2313.13,2478.73,2640.57
Industrial Product and Process Use,Chemical Industry,Carbon Black,-,-,-,,Emissions,CO2 (t),Kerala,Industry,-,101583.58,107805.46,110453.73,99936.52,105677.25,111657.18,111721.88,103276.7,101006.73,108237.9,115304.79
Industrial Product and Process Use,Chemical Industry,Carbon Black,-,-,-,,Emissions,CO2e (t) GTP-AR2,Kerala,Industry,-,113215.29,120149.6,123101.1,111379.63,117777.7,124442.35,124514.46,115102.28,112572.39,120631.55,128507.63
Industrial Product and Process Use,Chemical Industry,Carbon Black,-,-,-,,Emissions,CO2e (t) GTP-AR5,Kerala,Industry,-,110888.95,117680.77,120571.63,109091.01,115357.61,121885.31,121955.94,112737.16,110259.25,118152.82,125867.06
Industrial Product and Process Use,Chemical Industry,Carbon Black,-,-,-,,Emissions,CO2e (t) GWP-AR2,Kerala,Industry,-,150436.76,159650.84,163572.7,147997.59,156499.13,165354.9,165450.72,152944.12,149582.49,160291.24,170756.71
Industrial Product and Process Use,Chemical Industry,Carbon Black,-,-,-,,Emissions,CO2e (t) GWP-AR5,Kerala,Industry,-,166721.14,176932.63,181279.03,164017.96,173439.75,183254.14,183360.32,169499.93,165774.41,177642.35,189240.69
Industrial Product and Process Use,Chemical Industry,Carbon Black,-,-,-,,Emissions,N2O (t),Kerala,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Chemical Industry,Carbon Black,-,-,-,,Emissions,CH4 (t),Maharashtra,Industry,-,2112.51,2241.89,2296.97,2078.25,2197.64,2320.62,2321.52,2146.03,2098.86,2249.12,2395.97
Industrial Product and Process Use,Chemical Industry,Carbon Black,-,-,-,,Emissions,CO2 (t),Maharashtra,Industry,-,92246.1,97896.07,100300.91,90750.44,95963.48,101333.57,101372.9,93710.02,91650.32,98211.65,104623.93
Industrial Product and Process Use,Chemical Industry,Carbon Black,-,-,-,,Emissions,CO2e (t) GTP-AR2,Maharashtra,Industry,-,102808.63,109105.55,111785.75,101141.71,106951.66,112936.65,112980.49,104440.17,102144.63,109457.26,116603.77
Industrial Product and Process Use,Chemical Industry,Carbon Black,-,-,-,,Emissions,CO2e (t) GTP-AR5,Maharashtra,Industry,-,100696.13,106863.65,109488.78,99063.45,104754.03,110616.04,110658.97,102294.14,100045.77,107208.14,114207.79
