Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Emission / Removal / Bunker,Gas,State,Economic Activity,Product,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-chrome,-,-,,Emissions,CO2e (t) GWP-AR2,Odisha,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-manganese,-,-,,Emissions,CO2e (t) GWP-AR2,Odisha,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-silicon,-,-,,Emissions,CO2e (t) GWP-AR2,Odisha,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Puducherry,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-chrome,-,-,,Emissions,CO2e (t) GWP-AR2,Puducherry,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-manganese,-,-,,Emissions,CO2e (t) GWP-AR2,Puducherry,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-silicon,-,-,,Emissions,CO2e (t) GWP-AR2,Puducherry,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Rajasthan,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-silicon,-,-,,Emissions,CO2e (t) GWP-AR2,Telangana,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Uttar Pradesh,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-silicon,-,-,,Emissions,CO2e (t) GWP-AR2,Uttar Pradesh,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-chrome,-,-,,Emissions,CO2e (t) GWP-AR2,Uttarakhand,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-manganese,-,-,,Emissions,CO2e (t) GWP-AR2,Uttarakhand,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-silicon,-,-,,Emissions,CO2e (t) GWP-AR2,Uttarakhand,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,West Bengal,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-chrome,-,-,,Emissions,CO2e (t) GWP-AR2,West Bengal,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-manganese,-,-,,Emissions,CO2e (t) GWP-AR2,West Bengal,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Ferroalloys Production,ferro-silicon,-,-,,Emissions,CO2e (t) GWP-AR2,West Bengal,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Metal Industry,Iron and Steel Production,"DOLOMITE, CHIPS",-,-,,Emissions,CO2e (t) GWP-AR2,Andhra Pradesh,Industry,-,8643.13,2867.39,15960.31,24456.52,275667.72,356210.69,330038.03,324962.39,332575.26,374146.38,298179.08
Industrial Product and Process Use,Metal Industry,Iron and Steel Production,"DOLOMITE, LUMPS",-,-,,Emissions,CO2e (t) GWP-AR2,Andhra Pradesh,Industry,-,397308.78,99579.86,1032.77,8400.24,7549.01,1621.23,0.0,3180.85,3446.51,9318.98,4173.72
